plateid, locationid, ra, dec, apgver, vdone, vplan, SN, history
8239, 2098, 117.158309937, 47.9920043945, 100, 2, 1, 0, 57426,57427,
8240, 2100, 125.816566467, 43.5872688293, 100, 4, 1, 0, 58893,58894,58895,58896,
8241, 2109, 126.263702393, 18.6143741608, 100, 4, 1, 0, 57429,57430,57432,57474,
8242, 2099, 128.089950562, 55.8734817505, 100, 1, 1, 0, 58909,
8243, 2101, 130.113693237, 53.2678222656, 100, 1, 1, 0, 57092,
8244, 2102, 132.29901123, 51.5431404114, 100, 1, 1, 0, 57046,
8245, 2110, 136.16708374, 21.1892986298, 100, 2, 1, 0, 58112,58113,
8247, 2105, 136.816650391, 42.8103866577, 100, 3, 1, 0, 57013,57015,57020,
8248, 2107, 137.699813843, 16.8503303528, 100, 2, 1, 0, 58114,58115,
8249, 2103, 138.043838501, 45.2758483887, 100, 2, 1, 0, 57040,57041,
8250, 2104, 139.556228638, 43.2282180786, 100, 1, 1, 0, 56989,
8252, 2114, 145.100250244, 47.7357597351, 100, 2, 1, 0, 57042,57043,
8253, 2113, 158.300018311, 42.736076355, 100, 3, 1, 0, 57012,57013,57020,
8254, 2112, 163.08895874, 44.3969421387, 100, 1, 1, 0, 57122,
8255, 2115, 165.256988525, 44.305809021, 100, 2, 1, 0, 57400,57401,
8256, 2111, 165.280319214, 42.0926971436, 100, 3, 1, 0, 57020,57021,57039,
8257, 2122, 166.561157227, 45.5466194153, 100, 6, 1, 0, 57043,57047,57048,57067,57071,
8258, 2121, 166.81628418, 43.7824783325, 100, 3, 1, 0, 57041,57042,
8259, 2120, 179.431640625, 44.3963165283, 100, 6, 1, 0, 57046,57047,57048,57067,
8260, 2117, 182.31854248, 42.9203910828, 100, 2, 1, 0, 58254,58255,
8261, 2119, 182.844650269, 45.6626358032, 100, 5, 1, 0, 57096,57105,
8262, 2116, 184.919540405, 44.2335357666, 100, 2, 1, 0, 57405,57434,
8263, 2118, 185.679138184, 46.3986320496, 100, 2, 1, 0, 57121,57122,
8264, 5098, 193.8819, 42.105, 211, 6, 6, 0, 57057,57061,57063,57064,57108,57112,
8265, 5109, 177.0831, 1.2264, 211, 6, 6, 0, 57058,57119,57168,57171,
