plateid, locationid, ra, dec, apgver, vdone, vplan, SN, history
9452, 5210, 132.5513, 11.8568, -100, 1, 1, 0, 58115,
9458, 5212, 103.9501, -29.3939, -100, 1, 1, 0, 57830,
9459, 5213, 154.1282, -46.5232, -100, 2, 1, 0, 57832,57831,
9461, 5228, 78.5258, -62.5661, -100, 1, 1, 0, 58917,
9462, 5229, 78.2882, -40.0658, -100, 1, 1, 0, 58095,
9463, 5230, 84.0895, -69.1133, -100, 1, 1, 0, 57832,
9464, 5231, 164.0502, -84.8977, -100, 3, 1, 0, 58213,58590,58116,
9465, 5232, 192.1895, 12.1748, -100, 3, 1, 0, 57877,57829,57833,
9466, 5196, 335.6682, 50.1296, 110, 3, 3, 0, 57708,57737,57734,
9635, 5277, 82.4573, -45.0473, -200, 1, 1, 0, 58894,
9637, 5279, 127.4461, -45.0165, -100, 1, 1, 0, 58213,
9639, 5280, 150.0347, -30.0259, -100, 1, 1, 0, 57830,
9640, 5281, 75.0688, 9.9685, -100, 1, 1, 0, 58862,
9641, 5282, 135.0929, -59.9748, -100, 2, 1, 0, 58214,58210,
9645, 5286, 105.2894, -79.9938, -100, 1, 1, 0, 58152,
9646, 5287, 127.0761, -84.94, -100, 3, 1, 0, 58893,58448,58214,
9650, 5289, 59.9503, -69.9855, -100, 1, 1, 0, 58211,
9651, 5290, 97.6414, -70.0388, -100, 1, 1, 0, 58211,
9658, 5276, 226.5831, 36.6831, 111, 5, 6, 0, 57827,57849,57831,57822,57794,
9694, 5252, 138.3114, -48.2096, 211, 3, 3, 0, 58117,58120,58151,
9695, 5252, 138.3114, -48.2096, 321, 3, 3, 0, 58153,58121,58178,
9696, 5252, 138.3114, -48.2096, 421, 3, 3, 0, 58182,58179,58153,
9697, 5252, 138.3114, -48.2096, 531, 3, 3, 0, 58183,58180,58155,
9698, 5252, 138.3114, -48.2096, 631, 3, 3, 0, 57829,58154,57850,
9699, 5253, 229.9305, -42.738, 110, 3, 3, 0, 58660,57854,58657,
9700, 5253, 229.9305, -42.738, 210, 3, 3, 0, 58658,57882,57849,
9701, 5254, 182.0334, -74.6179, 110, 5, 3, 0, 57881,57943,57916,58154,57913,
9702, 5254, 182.0334, -74.6179, 210, 4, 3, 0, 58155,57944,58209,57942,
9703, 5255, 149.1183, -39.5005, 110, 3, 3, 0, 58122,57851,58151,
9704, 5255, 149.1183, -39.5005, 210, 3, 3, 0, 58181,58152,58155,
9705, 5256, 122.5192, -55.6822, 110, 3, 3, 0, 57854,57882,58096,
9706, 5256, 122.5192, -55.6822, 210, 3, 3, 0, 58115,58118,57851,
9707, 5257, 126.9551, -17.4504, 100, 3, 3, 0, 58150,58120,58117,
9708, 5212, 103.9501, -29.3939, 100, 3, 3, 0, 58117,58120,58150,
9709, 5258, 97.2254, -16.1813, 100, 3, 3, 0, 58120,58150,58117,
9710, 5259, 157.0004, -50.6397, 110, 3, 3, 0, 57915,58119,57851,
9711, 5260, 207.3688, -56.0367, 110, 3, 3, 0, 57853,57851,57945,
9712, 5260, 207.3688, -56.0367, 210, 3, 3, 0, 58213,58236,58210,
9713, 5261, 213.9209, -67.5671, 110, 3, 3, 0, 57917,57852,57877,
9714, 5262, 205.0701, -50.2668, 110, 3, 3, 0, 58211,57854,57850,
9715, 5263, 214.1081, -48.6298, 100, 4, 3, 0, 57833,57940,57852,57855,
9716, 5264, 236.0161, -54.9868, 110, 3, 3, 0, 57917,57850,57853,
9718, 5265, 241.0415, -44.6195, 110, 3, 3, 0, 57855,57831,57849,
9719, 5266, 182.2801, -50.1554, 110, 3, 3, 0, 57855,57850,58152,
9720, 5267, 168.4825, -73.464, 110, 4, 3, 0, 58118,57882,57852,57917,
9721, 5268, 230.2479, -49.9288, 110, 3, 3, 0, 57877,57851,57942,
9722, 5269, 245.5878, -41.2998, 110, 3, 3, 0, 57944,57941,57915,
9723, 5269, 245.5878, -41.2998, 210, 4, 3, 0, 57918,57852,57945,57942,
9724, 5269, 245.5878, -41.2998, 320, 3, 3, 0, 57943,57854,58358,
9725, 5180, 208.8178, 33.0428, 421, 6, 6, 0, 57884,57909,
9732, 5301, 283.75524, -30.45462, -100, 1, 1, 0, 57877,
9733, 5229, 78.28821, -40.06581, 110, 4, 3, 0, 57973,58030,58117,58120,
9734, 5229, 78.28821, -40.06581, 210, 3, 3, 0, 58121,58151,58118,
9735, 5294, 81.06153, -24.36794, 110, 5, 3, 0, 58028,58025,58033,58031,57974,
9736, 5294, 81.06153, -24.36794, 210, 4, 3, 0, 58060,57972,58026,58057,
9737, 5295, 138.6144, -65.05472, 110, 4, 3, 0, 58095,58090,57852,57856,
9738, 5295, 138.6144, -65.05472, 210, 3, 3, 0, 58118,58150,58122,
9739, 5296, 154.42839, -46.12459, 110, 3, 3, 0, 58091,58094,57854,
9740, 5296, 154.42839, -46.12459, 210, 3, 3, 0, 58092,58095,58121,
9741, 5297, 190.1829, -26.83075, 110, 3, 3, 0, 57856,58211,58153,
9742, 5297, 190.1829, -26.83075, 210, 3, 3, 0, 57851,58214,58236,
9743, 5298, 245.94395, -26.22634, 110, 2, 1, 0, 57850,57854,
9744, 5298, 245.94395, -26.22634, 210, 1, 1, 0, 57944,
9745, 5298, 245.94395, -26.22634, 310, 1, 1, 0, 58919,
9746, 5299, 253.99394, -4.1099, 110, 1, 1, 0, 57971,
9747, 5299, 253.99394, -4.1099, 210, 1, 1, 0, 57972,
9748, 5299, 253.99394, -4.1099, 310, 2, 1, 0, 57855,57973,
9749, 5300, 251.93784, -2.15107, 110, 1, 1, 0, 57851,
9750, 5300, 251.93784, -2.15107, 210, 1, 1, 0, 57855,
9751, 5300, 251.93784, -2.15107, 310, 1, 1, 0, 57914,
9752, 5302, 161.00154, -59.87431, 100, 1, 1, 0, 59202,
9753, 5303, 198.50234, -62.88459, 100, 1, 2, 0, 57859,
9758, 5306, 170.68516, 2.00739, 100, 1, 1, 0, 57878,
9759, 5307, 173.49581, -0.93585, 100, 1, 1, 0, 57878,
9761, 5309, 252.81706, -24.97001, 100, 1, 1, 0, 57878,
9762, 5310, 243.27255, -25.50334, 100, 1, 1, 0, 57878,
9763, 5311, 243.31338, -19.83822, 100, 1, 1, 0, 57878,
9764, 5312, 177.73762, 6.33028, 100, 1, 1, 0, 59224,
9772, 5276, 226.5831, 36.6831, 321, 6, 6, 0, 57850,57829,57832,57855,57858,57853,
9782, 5332, 241.41994, -19.95871, 100, 2, 2, 0, 58177,58176,
9783, 5333, 243.44445, -23.05825, 100, 1, 2, 0, 58560,
9785, 5324, 263.98424, -45.02141, 110, 1, 3, 0, 58714,
9786, 5324, 263.98424, -45.02141, 210, 1, 3, 0, 57881,
9787, 5325, 264.75766, -53.82196, 110, 3, 3, 0, 57971,57941,57877,
9788, 5325, 264.75766, -53.82196, 210, 3, 3, 0, 58356,57942,57945,
9789, 5325, 264.75766, -53.82196, 310, 3, 3, 0, 58357,58382,58385,
9795, 5328, 288.07457, -60.20822, 110, 5, 3, 0, 57942,57914,57973,57945,57941,
9796, 5328, 288.07457, -60.20822, 210, 4, 3, 0, 57915,57881,57944,57943,
9797, 5329, 294.71252, -30.93939, 110, 2, 1, 0, 57914,57944,
9798, 5329, 294.71252, -30.93939, 210, 1, 1, 0, 57916,
9799, 5329, 294.71252, -30.93939, 310, 2, 1, 0, 57938,57945,
9800, 5190, 284.6302, -9.7765, 420, 3, 3, 0, 57941,57909,57918,
9810, 5336, 278.83027, -34.57542, 110, 7, 9, 0, 58353,58350,58329,58324,58356,57972,58296,
9811, 5337, 261.21259, -14.12207, 100, 3, 3, 0, 57973,57970,58178,
9812, 5338, 283.58947, -25.70741, 100, 4, 3, 0, 58054,58356,58293,57972,
9813, 5339, 263.78476, -10.08623, 100, 3, 3, 0, 57974,57915,57970,
9814, 5340, 285.8607, -21.36227, 100, 3, 3, 0, 58028,57974,57972,
9815, 5341, 264.33615, -4.6181, 100, 3, 3, 0, 58357,58354,58561,
9816, 5342, 289.96613, -17.64115, 100, 3, 3, 0, 58324,57974,58294,
9817, 5343, 282.37016, -14.28044, 110, 3, 3, 0, 58349,58386,58354,
9818, 5344, 287.9277, -16.82108, 110, 3, 3, 0, 58331,58296,58348,
9819, 5345, 266.8265, -0.59348, 100, 4, 3, 0, 57975,58351,58354,58383,
9820, 5346, 291.9816, -13.33201, 100, 3, 3, 0, 57972,57968,58029,
9821, 5347, 270.43046, -2.4173, 100, 4, 3, 0, 58355,57968,57913,58566,
9822, 5348, 180.43181, -56.21144, 110, 4, 3, 0, 58151,58209,58154,58185,
9823, 5349, 174.23711, -67.88013, 110, 3, 3, 0, 58122,58115,57914,
9824, 5350, 221.06348, -73.06175, 110, 3, 3, 0, 58296,58299,57914,
9825, 5351, 225.67617, -44.99249, 110, 3, 3, 0, 58887,57915,57918,
9826, 5352, 243.10736, -59.69686, 110, 3, 3, 0, 57913,57974,58351,
9827, 5353, 252.35799, -63.5813, 110, 4, 3, 0, 57974,57913,57971,57916,
9828, 5354, 257.29468, -60.47323, 110, 3, 3, 0, 58324,58299,57914,
9829, 5355, 235.6625, -40.11571, 110, 1, 3, 0, 57916,
9830, 5356, 262.36727, -56.32082, 110, 3, 3, 0, 58352,58355,57915,
9831, 5369, 240.29093, -36.88303, 110, 3, 3, 0, 58627,57916,58620,
9832, 5357, 263.91882, -51.19541, 110, 3, 3, 0, 58594,58616,58358,
9833, 5358, 266.79256, -52.14124, 100, 3, 3, 0, 57914,57942,57917,
9834, 5359, 269.6634, -53.00995, 100, 3, 3, 0, 58384,58356,57945,
9836, 5361, 270.30586, -47.88549, 100, 5, 3, 0, 57945,57970,57916,57913,57941,
9837, 5362, 248.55509, -29.87246, 100, 3, 3, 0, 58178,57970,57973,
9838, 5370, 273.48528, -43.44287, 100, 4, 3, 0, 57944,57974,57971,57915,
9839, 5363, 266.3574, -28.9408, 100, 2, 2, 0, 58322,58323,
9840, 5363, 266.3574, -28.9408, 200, 1, 1, 0, 58322,
9841, 5363, 266.3574, -28.9408, 300, 1, 1, 0, 58323,
9843, 5364, 267.6317, -27.2567, 100, 1, 1, 0, 58323,
9845, 5365, 265.3143, -30.6902, 100, 2, 1, 0, 58322,58323,
9848, 5367, 264.0439, -32.3227, 100, 1, 1, 0, 58323,
9850, 5306, 170.68516, 2.00739, 200, 2, 2, 0, 58263,58243,
9851, 5371, 239.67572, -20.82587, 100, 2, 2, 0, 58176,58243,
9852, 5372, 241.88487, -21.62161, 100, 1, 2, 0, 58243,
9853, 5373, 243.06181, -25.09276, 100, 1, 2, 0, 58243,
9855, 5317, 245.54079, -22.16975, 200, 1, 2, 0, 58243,
9856, 5375, 347.16362, -4.77905, 100, 3, 2, 0, 57973,57942,57943,
